date,protocol,loss_usd,tx_hash,lookup_source,reasoning,etherscan_verified,researcher_verified,has_flashloan_event
2024-03-28,PrismaLST,11600000,0x00c503b595946bccaea3d58025b5f9b3726177bbdc9674e634244135282116c7,https://hackmd.io/@PrismaRisk/PostMortem0328,"Etherscan confirms tx on Mar-28-2024. Balancer flash loan.",yes,yes,yes
2023-04-13,Yearn Finance,11539000,0xd55e43c1602b28d4fd4667ee445d570c8f298f5401cf04e62ec329759ecda95d,https://www.numencyber.com/yearn-finance-flash-loan-exploit/,"Etherscan confirms tx on Apr-13-2023 from 'iearn yUSD Exploiter'. Aave V1 flash loan.",yes,yes,yes
2022-04-30,Saddle Finance,11000000,0x2b023d65485c4bb68d781960c2196588d03b871dc9eb1c054f596b7ca6f7da56,https://rekt.news/saddle-finance-rekt2,"Etherscan confirms tx on Apr-30-2022 from 'SaddleFinance Exploiter'. No standard FlashLoan event.",yes,yes,no
2020-11-17,Origin Protocol,8000000,0x5b23e13e0689a389859b3ea009cd7432689d027e0991a9c1a1a7fae7bf2b87fd,https://analytics.ousd.com/tx/debug/0x5b23e13e0689a389859b3ea009cd7432689d027e0991a9c1a1a7fae7bf2b87fd,"Etherscan shows tx on Nov-16-2020 interacting with 'Origin: Old OUSD Vault'. Date off by 1 day. No standard FlashLoan event.",yes,yes,no
2021-02-05,Yearn Finance,11000000,,,"Attack involved 160 transactions manipulating Curve 3pool. No single attack tx hash found.",skipped,skipped,unknown
2020-12-18,Warp Finance,7800000,0x8bb8dc5c7c830bac85fa48acad2505e9300a91c3ff239c9517d0cae33b595090,https://slowmist.medium.com/analysis-of-warp-finance-hacked-incident-cb12a1af74cc,"Etherscan confirms tx on Dec-17-2020. dYdX/Uniswap flash loans. No standard FlashLoan event. No Etherscan label.",yes,yes,no
2020-11-14,Value DeFi,7000000,0x46a03488247425f845e444b9c10b52ba3c14927c687d38287c0faddc7471150a,https://etherscan.io/tx/0x46a03488247425f845e444b9c10b52ba3c14927c687d38287c0faddc7471150a,"Etherscan confirms tx on Nov-14-2020. Aave flash loan with FlashLoan event present.",yes,yes,yes
2022-06-16,Inverse Finance,5800000,0x958236266991bc3fe3b77feaacea120f172c0708ad01c7a715b255f218f9313c,https://etherscan.io/tx/0x958236266991bc3fe3b77feaacea120f172c0708ad01c7a715b255f218f9313c,"Etherscan confirms tx on Jun-16-2022 from 'Inverse Finance Exploiter'. Aave flash loan.",yes,yes,yes
2021-08-29,xToken,4500000,0x924e6a6288587b497f73ddcf6ae3c184f15ab35dfcb85f3074b55266974029ef,https://rekt.news/xtoken-rekt-x2,"Etherscan confirms tx on Aug-29-2021. dYdX/Aave borrow — no standard FlashLoan event.",yes,yes,no
2026-01-20,Makinafi,4200000,0x569733b8016ef9418f0b6bde8c14224d9e759e79301499908ecbcd956a0651f5,https://x.com/GoPlusSecurity/status/2013489216865603751,"Etherscan confirms tx on Jan-20-2026 from 'Makina Finance Exploiter'. Morpho/Aave flash loan.",yes,yes,yes
2024-06-13,UwU Lend,3700000,0x9235e0662e230bdfa94f56f4932fd09a95fea17e4b9b44a4f40a59449e216110,https://etherscan.io/txs?a=0x841ddf093f5188989fa1524e7b893de64b421f47,"Etherscan confirms tx on Jun-13-2024 from 'UwU Lend Exploiter'.",yes,yes,yes
2020-11-13,Cheese Bank,3300000,0x600a869aa3a259158310a233b815ff67ca41eab8961a49918c2031297a02f1cc,https://immunebytes.com/blog/cheese-bank-hack-nov-6-2020-detailed-analysis/,"Etherscan confirms tx on Nov-06-2020. dYdX flash loan — no standard FlashLoan event. Uses borrow mechanism.",yes,yes,no
2023-11-01,Onyx Protocol,2100000,0xf7c21600452939a81b599017ee24ee0dfd92aaaccd0a55d02819a7658a6ef635,https://hacken.io/discover/onyx-protocol-hack/,"Etherscan confirms tx on Nov-01-2023 from 'Onyx Protocol Exploiter'.",yes,yes,yes
2020-11-12,Akropolis,2000000,0xf15623567231c67df2b8bcc5540236fbda2c3ac11ecbec427048f11b582cb869,https://rekt.news/akropolis-rekt/,"Etherscan confirms tx on Nov-12-2020 from 'Akropolis Hacker 1'. Only Transfer events — no FlashLoan event.",yes,yes,no
2024-02-24,BlueBerry,1400000,0xf0464b01d962f714eee9d4392b2494524d0e10ce3eb3723873afd1346b8b06e4,https://immunebytes.com/blog/list-of-largest-crypto-hacks-in-2024/,"Etherscan confirms tx on Feb-23-2024 from c0ffeebabe.eth. Balancer flash loan.",yes,yes,yes
2022-03-15,Deus Finance,,"","https://rekt.news/deus-dao-rekt/","Attack occurred on Fantom network not Ethereum mainnet. No Ethereum component.",skipped,skipped,n/a
2021-02-09,Growth DeFi,1300000,0xffef18b38096c96c1f6be784ea0ebb07964137858e38f3d65858a79e6a96797f,https://rekt.news/the-big-combo/,"Etherscan confirms tx on Feb-08-2021. Multi-step fake token exploit — not a flash loan. No FlashLoan event.",yes,yes,no
2023-06-12,Sturdy V1,770000,0xeb87ebc0a18aca7d2a9ffcabf61aa69c9e8d3c6efade9e2303f8857717fb9eb7,https://immunebytes.com/blog/sturdy-finance-hack-june-12-2023-detailed-analysis/,"Etherscan confirms tx on Jun-12-2023 from 'Sturdy Finance Exploiter'. Balancer flash loan.",yes,yes,yes
2021-03-08,DODO,700000,0x395675b56370a9f5fe8b32badfa80043f5291443bd6c8273900476880fb5221e,https://slowmist.medium.com/an-analysis-of-the-attack-on-dodo-628128ee6f5f,"Etherscan confirms tx on Mar-08-2021. DODOFlashLoan event (DODO's own flash loan mechanism).",yes,yes,non_standard
2020-02-18,Ooki,650000,0x762881b07feb63c436dee38edd4ff1f7a74c33091e534af56c9f7d49b5ecac15,https://peckshield.medium.com/bzx-hack-ii-full-disclosure-with-detailed-profit-analysis-8126eecc1360,"Etherscan confirms tx on Feb-18-2020 from 'bZx Exploiter 2'. bZx flashBorrowToken — no standard FlashLoan event.",yes,yes,no
2023-07-10,Arcadia V1,460000,0xefc4ac015069fdf9946997be0459db44c0491221159220be782454c32ec2d651,https://github.com/liqtags/crypto-rekts/blob/main/rekts/Arcadia-Finance.md,"Etherscan confirms tx on Jul-10-2023 from 'Arcadia Finance Exploiter 2'. Reentrancy exploit.",yes,yes,yes
2023-07-22,Conic Finance,300000,0x37acd17a80a5f95728459bfea85cb2e1f64b4c75cf4a4c8dcb61964e26860882,https://medium.com/@ConicFinance/post-mortem-eth-and-crvusd-omnipool-exploits-c9c7fa213a3d,"Etherscan confirms tx on Jul-21-2023 from 'Conic Finance Exploiter 3'. First of 12 sandwich txs.",yes,yes,yes
2023-11-11,Raft Protocol,,0xfeedbf51b4e2338e38171f6e19501327294ab1907ab44cfd2d7e7336c975ace7,https://immunebytes.com/blog/raft-protocol-exploit-nov-10-2023-detailed-analysis/,"Etherscan confirms tx on Nov-10-2023 from 'Raft Exploiter'. Aave flash loan of 6K cbETH.",yes,yes,yes
2020-06-30,Balancer,,0x013be97768b702fe8eccef1a40544d5ecb3c1961ad5f87fee4d16fdc08c78106,https://slowmist.medium.com/detailed-analysis-of-balancer-hack-de8bd86020de,"Etherscan confirms tx on Jun-28-2020. dYdX flash loan — no standard FlashLoan event.",yes,yes,no
2023-08-22,Balancer,,0x7020e0ccafff2c86db3df5a2af0cccb4e931fe948f69bf20ea517b0cc99c1f15,https://slowmist.medium.com/review-and-recommendations-of-balancer-incident-d2b31b5bd863,"Etherscan confirms tx on Aug-27-2023. FlashLoan event present.",yes,yes,yes
2021-11-28,Visor Finance,,0x6e5be7b85df2913ba8e807de9350d69969134d3f73391e620db267a9d0f8f461,https://www.linkedin.com/pulse/fairyproof-analysis-attack-visor-finance-fairyproof-tech,"Etherscan confirms tx on Nov-25-2021 from 'Visor Finance Arbitrage Attacker 2'. No FlashLoan event.",yes,yes,no
2023-01-11,Roe Finance,80000,0x927b784148b60d5233e57287671cdf67d38e3e69e5b6d0ecacc7c1aeaa98985b,https://quillaudits.medium.com/decoding-roe-finances-flash-loan-exploit-quillaudits-df8494e2090f,"Etherscan confirms tx on Jan-11-2023 from 'ROE Finance Exploiter'. MEV front-run of original attacker.",yes,yes,yes
2023-08-02,Uwerx,327000,0x3b19e152943f31fe0830b67315ddc89be9a066dc89174256e17bc8c2d35b5af8,https://medium.com/neptune-mutual/how-was-the-uwerx-network-exploited-bcc68ef651ac,"Etherscan confirms tx on Aug-02-2023. Balancer flash loan of 20K WETH.",yes,yes,yes
2025-12-16,FutureSwap,270000,0x23c6a1e3fa409fcf17b4a6c385924a17546772ce77b314d001cbf0dab9469ba3,https://blog.verichains.io/p/governance-attack-flashloan-vote,"Etherscan confirms tx on Dec-14-2025 from 'Futureswap Exploiter'. Uniswap flash swap — no standard FlashLoan event.",yes,yes,no
2026-02-28,Wise Lending V2,66000,,,"No post-mortem found. No on-chain activity on listed contracts for that date. Low-confidence entry.",skipped,skipped,unknown
2022-05-17,FEG,,0xc0031514e222bf2f9f1a57a4af652494f08ec6e401b6ae5b4761d3b41e266a59,https://certik.medium.com/20220516-feg-token-flashloan-exploit-analysis-4bfcd23bcfc9,"Etherscan confirms tx on May-16-2022 from 'FEGToken Exploiter 2'. Balancer flash loan.",yes,yes,yes
2022-10-15,Earning.Farm,,0x160c5950a01b88953648ba90ec0a29b0c5383e055d35a7835d905c53a3dda01e,https://btfinance.medium.com/bt-finance-exploit-analysis-report-a0843cb03b28,"Etherscan confirms tx on Oct-14-2022 from 'Earning.Farm Exploiter'. Balancer flash loan.",yes,yes,yes
2021-02-09,BT.Finance,,0xc71cea6fa00d11e98f6733ee8740f239cb37b11dec29e7cf85d7a4077977fa65,https://btfinance.medium.com/bt-finance-exploit-analysis-report-a0843cb03b28,"Etherscan confirms tx on Feb-08-2021 from 'BT.Finance Exploiter'. dYdX flash loan — no standard FlashLoan event.",yes,yes,no
2021-02-27,Yeld.finance,,,,"No tx hash found. Very small protocol. No post-mortem or public coverage.",skipped,skipped,unknown
2021-11-21,Formation.Fi,,,,"No tx hash found. Loss was 'negligible'. Attack may have been primarily on BSC.",skipped,skipped,unknown
2021-07-19,Array Finance,,0xa17bbc7c9ab17aa88fdb5de83b41de982845e9c9c072efff6709dd29febf0daa,https://blocksecteam.medium.com/the-analysis-of-the-array-finance-security-incident-bcab555326c1,"Etherscan confirms tx on Jul-18-2021. 4 Aave V2 flash loans.",yes,yes,yes
2022-10-12,ATK,,,,"Attack occurred on BSC not Ethereum mainnet. No Ethereum component.",skipped,skipped,n/a
2023-10-05,DePay,,0x9a036058afb58169bfa91a826f5fcf4c0a376e650960669361d61bef99205f35,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/src/test/2023-10/DePayRouter_exp.sol,"Etherscan confirms tx on Oct-05-2023. Business logic flaw — no standard FlashLoan event. ~827 USDC loss.",yes,yes,no
2025-04-27,Aventa,,0x59446b1f58457c83d18864bbfaa8930c9438da33017ad41f08397cf79a8c63e5,https://blockthreat.com/blockthreat-week-17-2025/,"Etherscan confirms tx on Apr-27-2025 07:45:59 UTC interacting with Aventa (AVENT) token and Uniswap V2. Date matches incident. Reward manipulation (~$8K loss) — no standard FlashLoan event.",yes,yes,no
2024-07-15,Minterest,,,,Attack occurred on Mantle Network not Ethereum mainnet. Halborn and official post-mortem confirm breach on Jul-14-2024 on Mantle. No Ethereum tx hash exists. Searched Halborn blog and official Minterest docs — no tx hash published. Medium hack analysis redirected and could not be fetched within tool call budget.,skipped,skipped,n/a
2023-11-07,MEV Bot,,0xbc08860cd0a08289c41033bdc84b2bb2b0c54a51ceae59620ed9904384287a38,https://www.web3isgoinggreat.com/?id=mev-bot-0x05f01-exploit,"Etherscan confirms tx on Nov-07-2023. 27K WETH flash loan from Aave V3 exploiting unprotected MEV bot function via Curve pools. ~1047 ETH profit.",yes,yes,yes
2023-09-12,OxODexPool,,,,"No results found under OxODexPool or 0xODexPool. Not in DeFiHackLabs or any aggregator. Protocol may be known under different name or may be non-Ethereum.",skipped,skipped,unknown
2024-02-24,ZoomerCoin,,,,"No tx hash found. Multiple searches returned no entry for ZoomerCoin/ZOOMER February 2024 exploit.",skipped,skipped,unknown
2023-05-31,Sashimi Swap,,,,"Only BSC tx found (0x3bf529... on Apr-25-2023). Not Ethereum mainnet. Date also mismatches (Apr vs May).",skipped,skipped,n/a
2023-05-09,MChainCapital,,0xf72f1d10fc6923f87279ce6c0aef46e372c6652a696f280b0465a301a92f2e26,https://immunebytes.com/blog/list-of-flash-loan-attacks-in-crypto/,"Etherscan confirms tx on May-09-2023. 30+ sequential swaps draining MCC/ETH Uniswap V2 pool. ~$18.8K loss.",yes,yes,yes
