batch,quarter,start_date,end_date,output_type,use_case,classification_method,flash_loan_events,unique_transactions,pct_of_events,pct_of_transactions
07,2021_Q3,2021-07-01,2021-10-01,per_layer,arbitrage,layer4_dex_interaction,5818,5793,49.22,76.18
07,2021_Q3,2021-07-01,2021-10-01,per_layer,collateral_swap,layer1_anchor_contract,2929,2929,24.78,38.52
07,2021_Q3,2021-07-01,2021-10-01,per_layer,collateral_swap,layer3_allium_lending,1616,1588,13.67,20.88
07,2021_Q3,2021-07-01,2021-10-01,per_layer,unknown,unclassified,1127,1122,9.53,14.76
07,2021_Q3,2021-07-01,2021-10-01,per_layer,debt_swap,layer3_allium_lending,237,210,2.01,2.76
07,2021_Q3,2021-07-01,2021-10-01,per_layer,liquidation,layer2_allium_liquidation,52,52,0.44,0.68
07,2021_Q3,2021-07-01,2021-10-01,per_layer,liquidation,layer2_trace_function,41,41,0.35,0.54
07,2021_Q3,2021-07-01,2021-10-01,per_use_case,arbitrage,,null,5793,null,76.18
07,2021_Q3,2021-07-01,2021-10-01,per_use_case,collateral_swap,,null,3095,null,40.7
07,2021_Q3,2021-07-01,2021-10-01,per_use_case,unknown,,null,1122,null,14.76
07,2021_Q3,2021-07-01,2021-10-01,per_use_case,debt_swap,,null,210,null,2.76
07,2021_Q3,2021-07-01,2021-10-01,per_use_case,liquidation,,null,52,null,0.68
08,2021_Q4,2021-10-01,2022-01-01,per_layer,arbitrage,layer4_dex_interaction,4472,4427,53.6,76.68
08,2021_Q4,2021-10-01,2022-01-01,per_layer,collateral_swap,layer1_anchor_contract,1513,1513,18.13,26.21
08,2021_Q4,2021-10-01,2022-01-01,per_layer,collateral_swap,layer3_allium_lending,1312,1236,15.73,21.41
08,2021_Q4,2021-10-01,2022-01-01,per_layer,unknown,unclassified,706,706,8.46,12.23
08,2021_Q4,2021-10-01,2022-01-01,per_layer,debt_swap,layer3_allium_lending,339,278,4.06,4.82
08,2021_Q4,2021-10-01,2022-01-01,per_layer,liquidation,layer2_allium_liquidation,1,1,0.01,0.02
08,2021_Q4,2021-10-01,2022-01-01,per_use_case,arbitrage,,null,4427,null,76.68
08,2021_Q4,2021-10-01,2022-01-01,per_use_case,collateral_swap,,null,2147,null,37.19
08,2021_Q4,2021-10-01,2022-01-01,per_use_case,unknown,,null,706,null,12.23
08,2021_Q4,2021-10-01,2022-01-01,per_use_case,debt_swap,,null,278,null,4.82
08,2021_Q4,2021-10-01,2022-01-01,per_use_case,liquidation,,null,1,null,0.02
09,2022_Q1,2022-01-01,2022-04-01,per_layer,arbitrage,layer4_dex_interaction,5904,5868,54.51,72.31
09,2022_Q1,2022-01-01,2022-04-01,per_layer,collateral_swap,layer1_anchor_contract,1960,1960,18.1,24.15
09,2022_Q1,2022-01-01,2022-04-01,per_layer,unknown,unclassified,1390,1383,12.83,17.04
09,2022_Q1,2022-01-01,2022-04-01,per_layer,collateral_swap,layer3_allium_lending,1288,1240,11.89,15.28
09,2022_Q1,2022-01-01,2022-04-01,per_layer,debt_swap,layer3_allium_lending,239,186,2.21,2.29
09,2022_Q1,2022-01-01,2022-04-01,per_layer,liquidation,layer2_allium_liquidation,25,25,0.23,0.31
09,2022_Q1,2022-01-01,2022-04-01,per_layer,liquidation,layer2_trace_function,25,25,0.23,0.31
09,2022_Q1,2022-01-01,2022-04-01,per_use_case,arbitrage,,null,5868,null,72.31
09,2022_Q1,2022-01-01,2022-04-01,per_use_case,collateral_swap,,null,2430,null,29.94
09,2022_Q1,2022-01-01,2022-04-01,per_use_case,unknown,,null,1383,null,17.04
09,2022_Q1,2022-01-01,2022-04-01,per_use_case,debt_swap,,null,186,null,2.29
09,2022_Q1,2022-01-01,2022-04-01,per_use_case,liquidation,,null,27,null,0.33
10,2022_Q2,2022-04-01,2022-07-01,per_layer,arbitrage,layer4_dex_interaction,12120,12078,61.44,82.27
10,2022_Q2,2022-04-01,2022-07-01,per_layer,collateral_swap,layer1_anchor_contract,2733,2733,13.85,18.62
10,2022_Q2,2022-04-01,2022-07-01,per_layer,nft_operations,pre_filter_benddao,411,207,2.08,1.41
10,2022_Q2,2022-04-01,2022-07-01,per_layer,collateral_swap,layer3_allium_lending,2228,2184,11.29,14.88
10,2022_Q2,2022-04-01,2022-07-01,per_layer,unknown,unclassified,1661,1640,8.42,11.17
10,2022_Q2,2022-04-01,2022-07-01,per_layer,liquidation,layer2_allium_liquidation,72,72,0.36,0.49
10,2022_Q2,2022-04-01,2022-07-01,per_layer,liquidation,layer2_trace_function,41,41,0.21,0.28
10,2022_Q2,2022-04-01,2022-07-01,per_use_case,arbitrage,,null,12078,null,82.27
10,2022_Q2,2022-04-01,2022-07-01,per_use_case,collateral_swap,,null,3401,null,23.17
10,2022_Q2,2022-04-01,2022-07-01,per_use_case,unknown,,null,1640,null,11.17
10,2022_Q2,2022-04-01,2022-07-01,per_use_case,debt_swap,,null,427,null,2.91
10,2022_Q2,2022-04-01,2022-07-01,per_use_case,nft_operations,,null,207,null,1.41
10,2022_Q2,2022-04-01,2022-07-01,per_use_case,liquidation,,null,74,null,0.5
11,2022_Q3,2022-07-01,2022-10-01,per_layer,arbitrage,layer4_dex_interaction,11502,11455,65.61,89.05
11,2022_Q3,2022-07-01,2022-10-01,per_layer,collateral_swap,layer1_anchor_contract,2118,2118,12.08,16.46
11,2022_Q3,2022-07-01,2022-10-01,per_layer,collateral_swap,layer3_allium_lending,1834,1803,10.46,14.02
11,2022_Q3,2022-07-01,2022-10-01,per_layer,unknown,unclassified,1061,1047,6.05,8.14
11,2022_Q3,2022-07-01,2022-10-01,per_layer,liquidation,layer2_allium_liquidation,340,340,1.94,2.64
11,2022_Q3,2022-07-01,2022-10-01,per_layer,liquidation,layer2_trace_function,331,331,1.89,2.57
11,2022_Q3,2022-07-01,2022-10-01,per_layer,debt_swap,layer3_allium_lending,345,312,1.97,2.43
11,2022_Q3,2022-07-01,2022-10-01,per_use_case,arbitrage,,null,11455,null,89.05
11,2022_Q3,2022-07-01,2022-10-01,per_use_case,collateral_swap,,null,2635,null,20.48
11,2022_Q3,2022-07-01,2022-10-01,per_use_case,unknown,,null,1047,null,8.14
11,2022_Q3,2022-07-01,2022-10-01,per_use_case,liquidation,,null,353,null,2.74
11,2022_Q3,2022-07-01,2022-10-01,per_use_case,debt_swap,,null,312,null,2.43
12,2022_Q4,2022-10-01,2023-01-01,per_layer,arbitrage,layer4_dex_interaction,13046,13006,57.54,70.48
12,2022_Q4,2022-10-01,2023-01-01,per_layer,nft_operations,pre_filter_benddao,4890,4133,21.57,22.4
12,2022_Q4,2022-10-01,2023-01-01,per_layer,collateral_swap,layer3_allium_lending,1661,1604,7.33,8.69
12,2022_Q4,2022-10-01,2023-01-01,per_layer,collateral_swap,layer1_anchor_contract,1596,1596,7.04,8.65
12,2022_Q4,2022-10-01,2023-01-01,per_layer,unknown,unclassified,963,919,4.25,4.98
12,2022_Q4,2022-10-01,2023-01-01,per_layer,debt_swap,layer3_allium_lending,279,233,1.23,1.26
12,2022_Q4,2022-10-01,2023-01-01,per_layer,liquidation,layer2_allium_liquidation,129,129,0.57,0.7
12,2022_Q4,2022-10-01,2023-01-01,per_layer,liquidation,layer2_trace_function,108,108,0.48,0.59
12,2022_Q4,2022-10-01,2023-01-01,per_use_case,arbitrage,,null,13006,null,70.48
12,2022_Q4,2022-10-01,2023-01-01,per_use_case,nft_operations,,null,4133,null,22.4
12,2022_Q4,2022-10-01,2023-01-01,per_use_case,collateral_swap,,null,2328,null,12.62
12,2022_Q4,2022-10-01,2023-01-01,per_use_case,unknown,,null,919,null,4.98
12,2022_Q4,2022-10-01,2023-01-01,per_use_case,debt_swap,,null,233,null,1.26
12,2022_Q4,2022-10-01,2023-01-01,per_use_case,liquidation,,null,138,null,0.75
